cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel
ENT1ST0001HS0046CN000018P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21,female,Master
ENT1ST0001HS0046CN000018P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,"Good job the police are so effective at catching and prosecuting non-Muslim sex-offenders and protecting their victims. Oh, wait.",Islamophobia,crimes,humor,21,female,Master
ENT1ST0001HS0046CN000019,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000019P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000019P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only reason these gangs exist in the first place is because they do not have an institution like the BBC or the Church to shield them.,Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000020,The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25,male,Bachelor
ENT1ST0001HS0046CN000020P1,Muslims grooming gangs are protected by the government and the police. This is a betrayal!,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25,male,Bachelor
ENT1ST0001HS0046CN000020P2,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The only traitors are the conspiracy theorists who spread this kind of misinformation.,Islamophobia,crimes,denouncing,25,male,Bachelor
ENT1ST0001HS0054CN000058,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000058P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000058P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","The only cover up that happens in the media is of the positive stories about Muslims, extremist actions are the only ones ever highlighted.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000059,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,Is this true? Where is your source?,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0054CN000059P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",Is this true? Where is your source?,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0054CN000059P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",Is this true? Where is your source?,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0054CN000060,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22,female,Master
ENT1ST0001HS0054CN000060P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22,female,Master
ENT1ST0001HS0054CN000060P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.",The BBC also neglects to report on many violent or terrorist far-right extremist and Islamophobic crimes. What is your point?,Islamophobia,crimes,"hypocrisy , question",22,female,Master
ENT1ST0001HS0054CN000061,Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,"Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000061P1,"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0054CN000061P2,"The BBC is covering Muslims: in Paris there was an attack where 2 men were killed and the murderers shouted 'allahu akbar', but the BBC said nothing about this. Disgusting.","Mate, the media is constantly biased against Muslims and tries to make them out to be the enemy. What we hardly ever see is the many more positive stories.",Islamophobia,crimes,facts,22,female,Master
ENT1ST0001HS0074CN000062,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000062P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000062P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I thought we'd stopped exporting our convicted criminals last century. Now you advocate exporting people wihtout a trial or a conviction.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000063,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000063P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000063P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",I think the government has a very good understanding of who should be deported and members of the public should leave this type of decisions to them?,Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000064,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26,female,Bachelor
ENT1ST0001HS0074CN000064P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26,female,Bachelor
ENT1ST0001HS0074CN000064P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Islamophobia,crimes,"facts , question",26,female,Bachelor
ENT1ST0001HS0074CN000065,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0074CN000065P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0074CN000065P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","In fact, the government deports those criminals back to their countries.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0074CN000066,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Islamophobia,crimes,"denouncing , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000066P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Islamophobia,crimes,"denouncing , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000066P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","What happened to the good old British values of stuff like 'tolerance' and 'respect for the rule of law' - what you are suggesting sounds like mob rule, vigilante action and people running around with burning torches?",Islamophobia,crimes,"denouncing , hypocrisy",61,male,Bachelor
ENT1ST0001HS0074CN000067,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24,female,Bachelor
ENT1ST0001HS0074CN000067P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24,female,Bachelor
ENT1ST0001HS0074CN000067P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","Are you suggesting to commit a crime? There are courts for punishment and if the crowd does the punishment itself, you will become criminals.",Islamophobia,crimes,"consequences , hypocrisy",24,female,Bachelor
ENT1ST0001HS0074CN000068,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000068P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000068P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.","The ones who deserved to be punished, were punished. If others are innocent, clearly they do not deserve to be penalized?",Islamophobia,crimes,facts,26,female,Bachelor
ENT1ST0001HS0074CN000069,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24,female,Bachelor
ENT1ST0001HS0074CN000069P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24,female,Bachelor
ENT1ST0001HS0074CN000069P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",Who are 'all them violent muslims'? Are you sure you are proficient to judge who's guilty and who's not?,Islamophobia,crimes,question,24,female,Bachelor
ENT1ST0001HS0074CN000070,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0074CN000070P1,"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0074CN000070P2,"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",An entire faith? Really? Can you not see how ignorant this is?,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000001,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26,female,Bachelor
ENT1ST0001HS0092CN000001P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26,female,Bachelor
ENT1ST0001HS0092CN000001P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Are you blaming all community for the action of a few? Doesn't seem very fair does it?,Islamophobia,crimes,denouncing,26,female,Bachelor
ENT1ST0001HS0092CN000002,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24,female,Bachelor
ENT1ST0001HS0092CN000002P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24,female,Bachelor
ENT1ST0001HS0092CN000002P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Could you mind your language? You are insulting millions of people who are Muslims. Isis are war criminals, but why are you equaling them with all Muslims?",Islamophobia,crimes,denouncing,24,female,Bachelor
ENT1ST0001HS0092CN000003,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000003P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000003P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","The truth is the worldwide Muslims denounce ISIS and its violence. Plus, many Muslims are the victims of ISIS. According to <The Guardian>, 'Isis regularly publishes a hit-list of global Muslim leaders in its online magazine, which certainly helps to explain why Muslims from Syria and Iraq may want to migrate to countries like Australia.'.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000004,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Positive news stories*.,Islamophobia,crimes,other,25,male,Master
ENT1ST0001HS0092CN000004P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Positive news stories*.,Islamophobia,crimes,other,25,male,Master
ENT1ST0001HS0092CN000004P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Positive news stories*.,Islamophobia,crimes,other,25,male,Master
ENT1ST0001HS0092CN000005,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0092CN000005P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0092CN000005P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Surely it is our 'actions' that make us criminals, not whichever faith we folow, whether than be by choice or tradition or culture?",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0092CN000006,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000006P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000006P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",This is not true. How can you say this about an entire faith?,Islamophobia,crimes,denouncing,25,male,Master
ENT1ST0001HS0092CN000007,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25,male,Master
ENT1ST0001HS0092CN000007P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25,male,Master
ENT1ST0001HS0092CN000007P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Muslims are also average and decent British citizens? Repatriate?,Islamophobia,crimes,hypocrisy,25,male,Master
ENT1ST0001HS0092CN000008,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26,female,Bachelor
ENT1ST0001HS0092CN000008P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26,female,Bachelor
ENT1ST0001HS0092CN000008P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",Saying that all people of certain religion are violent criminals does not make sense at all.,Islamophobia,crimes,"denouncing , facts",26,female,Bachelor
ENT1ST0001HS0092CN000009,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0092CN000009P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0092CN000009P2,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Can I suggest that the deportation of up to 3 million people, a large proportion of whom were born in the UK does not reflect 'our values' in the way I understand them.",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0092CN000010,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.",Islamophobia,crimes,facts,29,female,Master
ENT1ST0001HS0092CN000010P1,I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,"Isis is an extrem of Islam and does not represent Muslims' belief and action. Indeed, most of Islam condemned the action of ISIS.",Islamophobia,crimes,facts,29,female,Master
