text,TARGET,dialogue_id,turn_id,type,source
We should be sinking the boats not handing out phones!,MIGRANTS,5,2,HS,dialo_gold
I don’t think drowning desperate people is a solution.,MIGRANTS,5,3,CN,dialo_gold
Our traitor politicians are enabling invasion.,MIGRANTS,5,4,HS,dialo_gold
"To be fair, there seems to be plenty of evidence of the contrary.",MIGRANTS,5,5,CN,dialo_gold
By handing out mobiles at the taxpayers’ expense?,MIGRANTS,5,6,HS,dialo_gold
"I’ve seen more about Border Force routinely confiscating phones to look for data about the trafficking gangs…which seems more likely to me. That, and the fact I keep seeing charities asking for donations of old phones for asylum seekers?",MIGRANTS,5,7,CN,dialo_gold
"All credit to the Poles, they know how to control their borders. Bats and rubber bullets…I’d happily volunteer!",MIGRANTS,6,0,HS,dialo_gold
Don’t you think it’s a pity that a country that suffered so much under totalitarianism now adopts the same tactics?,MIGRANTS,6,1,CN,dialo_gold
A proud country preventing an invasion.,MIGRANTS,6,2,HS,dialo_gold
By beating back people caught in a crisis not of their own making?,MIGRANTS,6,3,CN,dialo_gold
An army of potential terrorists and child molesters.,MIGRANTS,6,4,HS,dialo_gold
We must be watching different news channels. All I see are desperate people and frightened kids all seeking a safe haven.,MIGRANTS,6,5,CN,dialo_gold
social media is banging on about the MOBO Awards again. When will we see awards for Music of WHITE Origin?,POC,7,0,HS,dialo_gold
Who would you nominate? Ed Sheeran? 🙂,POC,7,1,CN,dialo_gold
We don’t need to make everything about race.,POC,7,2,HS,dialo_gold
Why not see it as a celebration of creativity and innovation?,POC,7,3,CN,dialo_gold
Who really cares anyway?,POC,7,4,HS,dialo_gold
"A few...last year, the event live-stream had 430,000 viewers and the MOBO YouTube channel attracted 2.6 million views from December 7-15.",POC,7,5,CN,dialo_gold
"All of the 50 criminals due to be deported yesterday to Jamaica, were removed from a chartered flight after appeals by Human Rights Lawyers.",POC,8,0,HS,dialo_gold
"Surely, if the deportations were halted, these people had at the very least, grounds for appeal?",POC,8,1,CN,dialo_gold
"Its just a gravy train for leftie lawyers, all paid for by the tax payer. Foreigners shouldn’t have access to legal aid.",POC,8,2,HS,dialo_gold
"You don’t believe that people, regardless of any allegation, deserve a fair trial?",POC,8,3,CN,dialo_gold
It’s a bloody disgrace that we can’t get rid of foreign child molesters and rapists.,POC,8,4,HS,dialo_gold
"Whatever the criminal offence, these appeals are about the legality of the deportation, a complex area of law and hence why its one of the few grounds for entitlement to legal aid. Back to ensuring people get a fair trial.",POC,8,5,CN,dialo_gold
The legal system isn’t fit for purpose!,POC,8,6,HS,dialo_gold
"I’d probably agree with you there, but I can’t support the idea that we are NOT all EQUAL in the eyes of the law.",POC,8,7,CN,dialo_gold
"These Muslim MP’s should stop pretending they are British. They’re not, they are just invaders!",MUSLIMS,9,0,HS,dialo_gold
"Given most were born here, you seem to be saying that you can’t be Muslim and British…which doesn’t make sense",MUSLIMS,9,1,CN,dialo_gold
They need to stop using the Racism card…its just meaningless anti-white bullshit used to guilt-trip whites! We are sick of it!,MUSLIMS,9,2,HS,dialo_gold
"As a ‘white person’ I don’t feel guilty, but I’m happy to call out racism and Islamophobia when I encounter it.",MUSLIMS,9,3,CN,dialo_gold
Islam isn’t a race…it’s a death cult and incompatible with British society.,MUSLIMS,9,4,HS,dialo_gold
I’d suggest that racism and Islamophobia are contrary to British values of equality and religious freedom.,MUSLIMS,9,5,CN,dialo_gold
This is a Christian country.,MUSLIMS,9,6,HS,dialo_gold
"Again, I’d disagree since my experience is of a multi-faith society. Besides, I’ve never voted based on the stated religion of a candidate.",MUSLIMS,9,7,CN,dialo_gold
"I’ve just seen a video posted by a Patriot, of Muslim men of fighting age sleeping in a church because the asylum hotels are full. Free food, clothes and blankets…they don’t do that for our homeless!",MIGRANTS/MUSLIMS,10,0,HS,dialo_gold
"Well, they do. Using churches as homeless shelters has become common in recent years, so I’d guess the church in question already had the experience to help these desperate people.",MIGRANTS/MUSLIMS,10,1,CN,dialo_gold
Its giving succour to the enemy!,MIGRANTS/MUSLIMS,10,2,HS,dialo_gold
"Come on, its charity, what good Christians believe in.",MIGRANTS/MUSLIMS,10,3,CN,dialo_gold
"They’re muzzies, they should be in a mosque!",MIGRANTS/MUSLIMS,10,4,HS,dialo_gold
"I doubt they had any choice about where they were put, and maybe there are no Mosques in the area. I’m sure that Mosques up and down the country are doing their part.",MIGRANTS/MUSLIMS,10,5,CN,dialo_gold
We should be sending they back not feeding and clothing them.,MIGRANTS/MUSLIMS,10,6,HS,dialo_gold
Have you not read the story of the Good Samaritan? Isn’t this what Jesus would want from his flock?,MIGRANTS/MUSLIMS,10,7,CN,dialo_gold
Another County Cricket Club Chairman has resigned over ‘historic’ racist remarks from 4 years ago. This is becoming a witch hunt!,POC,11,0,HS,dialo_gold
"I don’t think racism was any more acceptable 4 years ago, than it is today.",POC,11,1,CN,dialo_gold
"Who remembers what they said 4 years ago? End of cricket, the white man can’t play anymore!",POC,11,2,HS,dialo_gold
"I think I’d remember an unacceptable and deeply offensive insult, regardless of how long ago, and of course white people can play cricket, they just need to learn not be racists.",POC,11,3,CN,dialo_gold
"This is about silencing the majority, so they don’t complain about being replaced.",POC,11,4,HS,dialo_gold
Nah…just about ensuring players can thrive and aren’t insulted and abused just because of who they are.,POC,11,5,CN,dialo_gold
"We pick them up in the Channel, ferry them to Dover, house them in hotels, provide free food and an allowance. We welcome them, so no wonder they come.",MIGRANTS,12,0,HS,dialo_gold
They come because they are desperate. Would you risk the sea in an open boat for a free pizza and a flea-pit hotel?,MIGRANTS,12,1,CN,dialo_gold
"We don’t need them, and we can’t even look after our own. We need to turn them back, not let them in.",MIGRANTS,12,2,HS,dialo_gold
"What about the so-called ‘proud tradition’ of welcoming those fleeing for their lives and our commitment to the 1951 Refugee Convention, which we had a hand in drafting?",MIGRANTS,12,3,CN,dialo_gold
"These are ‘Economic migrants’ or worse. If they were asylum seekers, they would claim sanctuary in the nearest safe country.",MIGRANTS,12,4,HS,dialo_gold
"Most do. Although, as you will now, The Convention does not require refugees to claim asylum in the first safe country they reach or make it illegal to seek asylum if a claimant has passed through another safe country.",MIGRANTS,12,5,CN,dialo_gold
The indigenous people of Britain are being replaced!,MIGRANTS,12,6,HS,dialo_gold
"That’s a different issued and while I disagree, I haven’t got time to debate the notions of ‘Britishness’ today. Let’s just hope that there are no more tragedies due to the channel crossing. You take care and have a nice day.",MIGRANTS,12,7,CN,dialo_gold
"How come these ‘desperate’ migrants all have mobiles, designer gear, trainers and can afford to pay thousands to people smugglers?",MIGRANTS,13,0,HS,dialo_gold
"Some will have sold homes, businesses, possessions. Others will be supported by family networks, loans from dear friends. ‘Desperate’ doesn’t always mean ‘poor’. Many will be professionals, civil servants, lawyers, teachers.",MIGRANTS,13,1,CN,dialo_gold
"Rapists, terrorists, and child molesters!",MIGRANTS,13,2,HS,dialo_gold
"Families, women, and children, as well as young men fleeing war, famine, persecution, and oppression...",MIGRANTS,13,3,CN,dialo_gold
"Young men of fighting age, an invading army.",MIGRANTS,13,4,HS,dialo_gold
"Fleeing war, forced conscription, religious and political persecution, fear. Ask yourself, how bad would things have to be, to leave your home, family and country and face the ordeal these people have subjected themselves to?",MIGRANTS,13,5,CN,dialo_gold
"We are full, we don’t need anymore migrants or asylum seekers.",MIGRANTS,14,0,HS,dialo_gold
"Population density varies and this, along with other factors like a failure to build homes causes local shortages but to say we are ‘full’ is not true or accurate. At the last count there were over 1 million empty properties in the UK.",MIGRANTS,14,1,CN,dialo_gold
So why are people homeless and sleeping on the streets?,MIGRANTS,14,2,HS,dialo_gold
"Poverty, Eviction, relationship breakdown, substance abuse, mental health issues, unemployment, disability, PSD, failed asylum applications…it’s a long list.",MIGRANTS,14,3,CN,dialo_gold
You agree that immigration is a contributor then?,MIGRANTS,14,4,HS,dialo_gold
"Yes of course, but only a small factor amongst many. Ask yourself, if we had no immigration, would that solve the housing shortage on its own?",MIGRANTS,14,5,CN,dialo_gold
It might be a start.,MIGRANTS,14,6,HS,dialo_gold
"I’d rather see more houses built, the empties let to tenants, adequate support for the homeless, the mentally ill and ex-service personnel, alongside the de-decriminalisation and support for people with addiction. That would be a better start.",MIGRANTS,14,7,CN,dialo_gold
"All these asylum seekers coming here and taking jobs away from native brits, no wonder this country is in a mess.",MIGRANTS,15,0,HS,dialo_gold
"Asylum seekers aren’t actually allowed to work in the UK until they get refugee status, and often take jobs that native Brits don’t want. Also, many people who migrate here start businesses, creating more jobs!",MIGRANTS,15,1,CN,dialo_gold
"They’ll do it for less than minimum wage though, so we don’t get offered the jobs because they’ll do it for cheaper.",MIGRANTS,15,2,HS,dialo_gold
"That’s the fault of exploitative employers who don’t want to pay their workers properly, not the refugees for trying to make a living.",MIGRANTS,15,3,CN,dialo_gold
"Women getting into the labour market has caused the downfall of Western civilisation, they should be at home raising children. Abandoning traditional roles is the ruin of society.",WOMEN,16,0,HS,dialo_gold
"I’d disagree, women should be able to choose what they do, but also even if some women did want to stay at home, many don’t have a choice anymore! It’s impossible to support a family on 1 wage now.",WOMEN,16,1,CN,dialo_gold
"Oh really? It didn’t used to be impossible, it used to be the norm, what’s changed?",WOMEN,16,2,HS,dialo_gold
"The cost of living has increased rapidly whilst wages have stagnated over the last few decades. This means that whilst 1 full time wage used to support a family, now with proportionately higher prices for things like food and housing, this isn’t possible.",WOMEN,16,3,CN,dialo_gold
"The trans agenda don’t want mens and womens toilets, everything has to be ‘all in 1’ now. Is this the future we want? Risking womens safety just so men in dresses feel comfortable?",LGBT+,17,0,HS,dialo_gold
"In some bars and cafes that I usually go to there are gender neutral toilets, and I've never had a problem with them. As long as people respect others and respect the space, 'all in 1' toilets work fine.",LGBT+,17,1,CN,dialo_gold
But many wont and many will feel aggrieved by them. You choose to go to that bar/cafe but public toilets will obviously become a problem.,LGBT+,17,2,HS,dialo_gold
"Yeah, it's bound to be unfamiliar to some people, but I'm just saying it can work without there being issues/conflict. It's a question of what the norm is. A lot of student unions and universities today have gender neutral toilets, so that generation will be generally okay with it.",LGBT+,17,3,CN,dialo_gold
"Immigrants add to the cost of the NHS, get loads of money in benefits, and create a housing shortage. Time to close the borders.",MIGRANTS,18,0,HS,dialo_gold
"They also pay taxes, contributing to the cost of these services, and are less likely than native Brits to claim benefits, as many are not entitled to it!",MIGRANTS,18,1,CN,dialo_gold
"They still cost us a lot as a country, and if they're not on benefits it means there are less jobs for British people too",MIGRANTS,18,2,HS,dialo_gold
"Immigrants are also more likely to be business owners, meaning they create jobs.",MIGRANTS,18,3,CN,dialo_gold
They probably only hire their own though,MIGRANTS,18,4,HS,dialo_gold
Are you annoyed that immigrants are getting benefits or that they're taking jobs? Make up your mind,MIGRANTS,18,5,CN,dialo_gold
Got on the train today and there's rainbow flag logos everywhere. Fed up of this LGBT stuff being shoved in our faces. When will this woke nonsense end?,LGBT+,19,0,HS,dialo_gold
If you consider supporting the LGBT+ community to be 'woke nonsense' then that sounds like your problem...,LGBT+,19,1,CN,dialo_gold
"We just don't need to see it everywhere, even the trains are no longer free of it. This is the start of them spreading their agenda.",LGBT+,19,2,HS,dialo_gold
"The LGBT+ community doesn't have an 'agenda' but public shows of support like this show people that homophobia and transphobia are unacceptable, and this might help some people feel safer in public spaces!",LGBT+,19,3,CN,dialo_gold
"Soon it will be 'sexist' to even talk to birds, everyone gets offended so easily these days you can't say anything.",WOMEN,20,0,HS,dialo_gold
If you talk to women like they're people not 'birds' you shouldn't have a problem!,WOMEN,20,1,CN,dialo_gold
I'll call them what I want,WOMEN,20,2,HS,dialo_gold
"Well, treating people with respect, like not using dehumanising or derogatory terms towards them, is usually a good idea if you want to be treated with respect back!",WOMEN,20,3,CN,dialo_gold
All these muslims coming over here want to enforce sharia law and take over. We cannot submit!!!,MUSLIMS,21,0,HS,dialo_gold
"Muslims don't want to 'take over', even if they abide by sharia themselves, they're just trying to live alongside everybody else",MUSLIMS,21,1,CN,dialo_gold
"There's so many of them though, they're trying to replace us",MUSLIMS,21,2,HS,dialo_gold
"Only around 5% of the UK population are Muslim, non-Muslims are definitely not being replaced!",MUSLIMS,21,3,CN,dialo_gold
All muslims are terrorists!,MUSLIMS,22,0,HS,dialo_gold
"That's not true, and it's a big generalisation, terrorists come from many backgrounds and religions, terrorism is not an exclusively Muslim issue",MUSLIMS,22,1,CN,dialo_gold
So you're saying there are no Muslim terrorists?? Wake up,MUSLIMS,22,2,HS,dialo_gold
"No, there obviously are some terrorists who are Muslim, but the vast majority of Muslims are peaceful and are appalled by the actions of those who commit violent acts of extremism",MUSLIMS,22,3,CN,dialo_gold
Jews want to take over the world and decimate Western civilisation!,JEWS,23,0,HS,dialo_gold
"That's not true, where did you hear that?",JEWS,23,1,CN,dialo_gold
Have you heard of the great replacement? You should look it up. Jews are using their power to ruin the West and replace white people.,JEWS,23,2,HS,dialo_gold
"The great replacement is a ridiculous conspiracy theory. Yes, there are some Jewish people in high powered positions but this doesn't mean these people are using their power to 'replace white people'.",JEWS,23,3,CN,dialo_gold
Gay people need to live separately from us so we don't catch AIDS from them.,LGBT+,24,0,HS,dialo_gold
"The HIV AIDS epidemic in the 80's was weaponised to spread homophobia and demonise gay people. Anybody can get HIV, straight or gay, and the vast majority of gay people do not have this illness. Those who do can manage their condition with daily medication, which makes it impossible to transmit.",LGBT+,24,1,CN,dialo_gold
"It's a gay disease, straight people don't get AIDS",LGBT+,24,2,HS,dialo_gold
"Yes they do, HIV which can develop into AIDS is actually more likely to be undiscovered in straight people, meaning there is more risk of it spreading. This is because after the epidemic the LGBT community became hyperaware of the risk, and generally get tested more.",LGBT+,24,3,CN,dialo_gold
"If black people aren't all criminals, why are they disproportionately arrested and taking up space in our prisons?",POC,25,0,HS,dialo_gold
"Because of institutionalised racism in the Police, meaning they are more likely to get stopped and searched, randomly targeted, or assumed to be doing something 'suspicious'. Also because of the type of crimes the Police focus energy on e.g. street crimes that happen in poorer areas, which black people are more likely to live in, are given more Police attention than white collar crime.",POC,25,1,CN,dialo_gold
You can't blame everything on 'institutional racism',POC,25,2,HS,dialo_gold
"No, you can't, but it explains why more black people committing the same crimes that white people commit get caught. This is especially true for drug offenses, where white people are just as likely if not more likely to be in possession of drugs, but are way less likely to be searched.",POC,25,3,CN,dialo_gold
"More boats at Dover today, the migrant invasion continues…",MIGRANTS,26,0,HS,dialo_gold
"It’s not a planned ‘invasion’, they’re refugees fleeing to safety.",MIGRANTS,26,1,CN,dialo_gold
If they’re really ‘refugees’ why didn’t they stop in the first safe country they got to?,MIGRANTS,26,2,HS,dialo_gold
"Some people come to the UK because they have family here, or speak English already, also not all countries that we consider ‘safe’ are safe for refugees, given the way they’re treated by the Police in some places.",MIGRANTS,26,3,CN,dialo_gold
SHARE if you think homeless veterans should be housed before any refugees!,MIGRANTS,27,0,HS,dialo_gold
Both veterans and refugees should be housed! There is enough housing for all however a lack of social and affordable housing means lots of places lie empty. Everyone deserves to have a roof over their head.,MIGRANTS,27,1,CN,dialo_gold
"Veterans go to the bottom of the list like everybody else once they've left the barracks and army housing, we have to petition our own government to protect them.",MIGRANTS,27,2,HS,dialo_gold
"Yes I agree! In a country with this much wealth there should be protection for all vulnerable people, veteran or refugee.",MIGRANTS,27,3,CN,dialo_gold
Why don’t all these Muslim refugees go to other wonderful Muslim countries? Am I missing something?,MUSLIMS,28,0,HS,dialo_gold
"Actually, Muslim countries like Turkey, Pakistan, and Jordan take more refugees than any other countries. The percentage of refugees that come to the UK is tiny in comparison to the full amount of displaced people from conflicts in Syria, Afghanistan, etc.",MUSLIMS,28,1,CN,dialo_gold
"Why do we have so many coming here across the channel then? We’re full, there’s no room for them here.",MUSLIMS,28,2,HS,dialo_gold
"The number of displaced people is very high right now, and just as other countries are doing, we need to take our fair share. I would argue we definitely have a responsibility, especially since the UK has played a part in some of the conflicts that displaced them.",MUSLIMS,28,3,CN,dialo_gold
How is it our fault if there’s a war in some third world country?,MUSLIMS,28,4,HS,dialo_gold
UK manufacturers profit from selling military equipment and weapons to these countries. The least we can do is help people who are fleeing violence there.,MUSLIMS,28,5,CN,dialo_gold
"LGBT history month now being taught in schools… I’m sick of this being shoved down our throats, what happened to British, European and World history being taught? Identity politics gone mad.",LGBT+,29,0,HS,dialo_gold
"We still can teach British, European and World history, but part of that is looking at the history of groups which have been erased from our history previously. Looking at the some of the historic struggles of LGBT people in the UK can inform the future for everyone!",LGBT+,29,1,CN,dialo_gold
"Do we have to discuss the sexuality of everyone in history when it’s largely irrelevant? If they were persecuted for it then fair enough, stick it in there and say how wrong it was, otherwise leave well alone.",LGBT+,29,2,HS,dialo_gold
"LGBT people have been persecuted until recently in the UK, and it's still illegal to be gay in over 70 countries. I think it's important that people see that there have always been LGBT people, throughout history and that LGBT identities are not 'new' or a 'trend', they're real.",LGBT+,29,3,CN,dialo_gold
"Jews are so greedy, they're always thinking about money",JEWS,30,0,HS,dialo_gold
That's a sweeping generalisation and an incorrect stereotype. You can't tar all Jewish people with the same brush! There's also a lot of 'greedy' people who aren't Jewish,JEWS,30,1,CN,dialo_gold
I've never met a Jew who wasn't greedy,JEWS,30,2,HS,dialo_gold
"From the way you're talking, it sounds like you haven't met many Jewish people at all. Maybe you need to interact with more people who are different from you, to understand their perspectives.",JEWS,30,3,CN,dialo_gold
Feminism gives women the muddled idea that women are free when they serve their employers but slaves when they help their husbands.,WOMEN,31,0,HS,dialo_gold
"Nope, feminism is believing that a woman can go to work, have a husband, do both or neither, and all of those options are fine as long as it's what she wants to do.",WOMEN,31,1,CN,dialo_gold
"It’s ok for who? For the long term of our civilisation? Groups that have more children, like Muslims, will grow and those who don't, like white women, will decline. Women need to be prioritising having a family.",WOMEN,31,2,HS,dialo_gold
"Women don't owe you children, if they don't want to have them and want to prioritise other things instead they have a right to. Children are a big commitment.",WOMEN,31,3,CN,dialo_gold
But what about Western civilisation? If the white population doesn't reproduce we will become a minority.,WOMEN,31,4,HS,dialo_gold
"You're really going to make this about race? It doesn't make a difference to me what ethnicity or religion the children of the future are, we are all human!",WOMEN,31,5,CN,dialo_gold
LGBT people are a danger to society and we need to take a stand against them.,LGBT+,32,0,HS,dialo_gold
Why do you feel like LGBT people are dangerous?,LGBT+,32,1,CN,dialo_gold
"It's a slippery slope, first we accept gays and transgenders, next it will be pedophiles.",LGBT+,32,2,HS,dialo_gold
There is no link between the LGBT+ community and paedophiles. These things have no connection.,LGBT+,32,3,CN,dialo_gold
Are you saying there's no gay or trans paedophiles? Because that's a lie.,LGBT+,32,4,HS,dialo_gold
"No, I'm saying paedophilia and child abuse is not an LGBT+ issue, paedophiles can be straight, gay, or whatever else. People in the LGBT+ community are not advocating for paedophilia to be accepted, that's a false and harmful conception.",LGBT+,32,5,CN,dialo_gold
Can't believe we are housing and feeding all these asylum seekers when they are coming over here ILLEGALLY,MIGRANTS,33,0,HS,dialo_gold
"They have to come here to be able to claim asylum at all, you have to be on UK soil to make a claim. It's not illegal to go to a country to claim asylum.",MIGRANTS,33,1,CN,dialo_gold
Why do they come over hidden in lorries or in dinghies across the channel then? why not just get a flight?,MIGRANTS,33,2,HS,dialo_gold
"That's much easier said than done, especially when you're coming from a country in a state of unrest, or you don't have all of your documentation because you had to flee. Sometimes these routes are the only way.",MIGRANTS,33,3,CN,dialo_gold
All muslims are rapists,MUSLIMS,34,0,HS,dialo_gold
"That's a sweeping generalisation, and it's not true at all. Sexual assault happens in all communities, and is committed by people from all backgrounds and religions.",MUSLIMS,34,1,CN,dialo_gold
What about what happened in Rotherham and Rochdale? Grooming gangs are a big problem.,MUSLIMS,34,2,HS,dialo_gold
"Yes, the abuse carried out by Muslim grooming gangs in those places was horrific and can't be ignored, but sexual assault is extremely common unfortuately, and is usually committed in the home, often by a partner, family member, or someone known to the victim. This means that the vast majority of sexual assaults are not committed by Muslims.",MUSLIMS,34,3,CN,dialo_gold
Do you have any evidence about that?,MUSLIMS,34,4,HS,dialo_gold
"Yes, here's an article (link to article about sexual assault statistics)",MUSLIMS,34,5,CN,dialo_gold
Muslims want to invade us and enforce sharia law!,MUSLIMS,35,0,HS,dialo_gold
"No, the vast majority of Muslims just want to be able to live their lives, they don't care if others follow sharia.",MUSLIMS,35,1,CN,dialo_gold
How do you explain the Taliban then?,MUSLIMS,35,2,HS,dialo_gold
"Every religion has extremists, but the vast majority of Muslims condemn the actions of terrorist groups like the Taliban. They do not reflect Muslims as a whole.",MUSLIMS,35,3,CN,dialo_gold
"As much as the media tries, you can't convince me to take transgenders seriously. A man can put on a dress and make up but at the end of the day they're still a man. That's basic biology.",LGBT+,36,0,HS,dialo_gold
"It's not 'biology'. You're confusing sex and gender. Gender has nothing to do with our biology or body, it's about our identity and how we feel. Sex is our anatomy, hormones etc, but even this isn't as binary as many people beleive.",LGBT+,36,1,CN,dialo_gold
"What do you mean sex isn't binary? There's men and there's women, nothing inbetween.",LGBT+,36,2,HS,dialo_gold
"No, there are many people who don't fit into the sex binary, for example intersex people. Also people have different hormone levels, and reproductive organs. This shows things aren't as clear cut as there just being 2 sexes!",LGBT+,36,3,CN,dialo_gold
"I tolerated fag pride, I tolerated seeing fags on tv, but I draw the line at schools teaching children about their perverted lifestyles. This is indoctrination.",LGBT+,37,0,HS,dialo_gold
"Teaching about LGBT relationships in schools isn't trying to indoctrinate children, it's just teaching kids that gay relationships exist and can be healthy and happy.",LGBT+,37,1,CN,dialo_gold
I don't know if homosexual relationships are ever healthy or happy...,LGBT+,37,2,HS,dialo_gold
"There are plenty of happy and healthy gay relationships, and it's important for children to see these normalised so they don't feel shame, or feel like they have to hide if they realise they are gay.",LGBT+,37,3,CN,dialo_gold
and what about all the straight kids? Having this rammed down their throats isn't good for them,LGBT+,37,4,HS,dialo_gold
It's important for them to be educated about LGBT relationships too so they don't become hateful and hostile. We should raise children to accept everybody for who they are.,LGBT+,37,5,CN,dialo_gold
"If we accept transgenders it's a slippery slope. First you can identify as whatever gender you want, then it will be whatever age they want. Suddenly paedophilia is something we're being told to accept...",LGBT+,38,0,HS,dialo_gold
"There's no link between transgender people and paedophilia. Paedophiles can be straight, gay, trans, or cisgender, it's not a trans issue.",LGBT+,38,1,CN,dialo_gold
It's perversion all the same. You must be able to see how allowing these freaks to have their way is harmful.,LGBT+,38,2,HS,dialo_gold
"No, it's not harmful or perverted. Transgender people just want to be able to live their lives in a way they feel comfortable. It's not about 'perversion' or paedophilia.",LGBT+,38,3,CN,dialo_gold
It disgusts me when white women have children with black men. We need to protect our bloodlines and ethnic heritage.,POC,39,0,HS,dialo_gold
Why does it disgust you?,POC,39,1,CN,dialo_gold
"We need to keep the white race alive, polluting it by breeding with blacks means there will be less white children in the future.",POC,39,2,HS,dialo_gold
Why do you care what colour children are? People are free to have children with whoever they want and it's quite authoritarian to say they shouldn't.,POC,39,3,CN,dialo_gold
"If you need any more proof that whites and blacks are not equal, look at the technological advancement achieved by each. Whites took us to space, Africans are still living in third world shitholes. We are not the same.",POC,40,0,HS,dialo_gold
"Actually, did you know some of the most essential work done at NASA to launch space exploration missions was done by a group of black female mathematicians?",POC,40,1,CN,dialo_gold
"No I didn't, sounds fake, is it true?",POC,40,2,HS,dialo_gold
"Yes, look up 'hidden figures', a film was recently made based on the true story of the mathematicians who were instrumental to some of the early NASA missions.",POC,40,3,CN,dialo_gold
We are letting Muslim terrorists come to our country as 'refugees'. This has got to stop.,MUSLIMS,41,0,HS,dialo_gold
"The people coming to our country as refugees are not terrorists, in a lot of cases they're fleeing terrorism",MUSLIMS,41,1,CN,dialo_gold
"So you're saying none of them are terrorists? We know that's a lie, Muslim migrants commit crimes all the time.",MUSLIMS,41,2,HS,dialo_gold
"Sure there might be a few people who have violent extremist views, but these people are not representative of the Muslim community in any way.",MUSLIMS,41,3,CN,dialo_gold
